chrom,strand,TSS,cluster_member
chr3,+,160119278,"hsa-mir-16-2,hsa-mir-15b"
chr17,-,6923193,"hsa-mir-497,hsa-mir-195"
chr1,+,1093352,"hsa-mir-429,hsa-mir-200a,hsa-mir-200b"
chr1,+,2986399,hsa-mir-4251
chr1,+,10004161,hsa-mir-5697
chr1,+,10270763,hsa-mir-1273d
chr1,+,22379859,hsa-mir-4418
chr1,+,23346495,hsa-mir-3115
chr1,+,25174790,hsa-mir-4425
chr1,+,32538502,hsa-mir-5585
chr1,+,38478523,hsa-mir-3659
chr1,+,44870959,hsa-mir-5584
chr1,+,51444065,hsa-mir-4421
chr1,+,53392900,hsa-mir-1273f
chr1,+,54519273,hsa-mir-4781
chr1,+,55681387,hsa-mir-4422
chr1,+,64936475,hsa-mir-4794
chr1,+,85527992,hsa-mir-4423
chr1,+,94312298,hsa-mir-760
chr1,+,100731713,hsa-mir-553
chr1,+,110091401,hsa-mir-197
chr1,+,150521897,hsa-mir-4257
chr1,+,154947678,hsa-mir-4258
chr1,+,155164702,hsa-mir-92b
chr1,+,161195832,hsa-mir-5187
chr1,+,165797684,hsa-mir-3658
chr1,+,167906520,hsa-mir-1255b-2
chr1,+,171810620,hsa-mir-3120
chr1,+,193091087,hsa-mir-1278
chr1,+,212208918,hsa-mir-3122
chr1,+,228647234,hsa-mir-4666a
chr1,+,233749749,hsa-mir-4427
chr1,+,234250572,hsa-mir-4671
chr1,+,240760292,hsa-mir-3123
chr1,+,243419306,hsa-mir-4677
chr1,-,6051895,hsa-mir-4689
chr1,-,9223872,hsa-mir-34a
chr1,-,19229293,hsa-mir-1290
chr1,-,23494327,hsa-mir-4419a
chr1,-,32226683,hsa-mir-4254
chr1,-,37980420,hsa-mir-5581
chr1,-,52343712,hsa-mir-761
chr1,-,60280236,hsa-mir-4711
chr1,-,65532597,"hsa-mir-3671,hsa-mir-101-1"
chr1,-,71546246,hsa-mir-186
chr1,-,98511571,hsa-mir-2682
chr1,-,98511857,hsa-mir-137
chr1,-,113044554,hsa-mir-4256
chr1,-,117112729,hsa-mir-548ac
chr1,-,147806885,hsa-mir-5087
chr1,-,155532324,hsa-mir-555
chr1,-,157015162,hsa-mir-765
chr1,-,180471285,hsa-mir-3121
chr1,-,196577499,hsa-mir-4735
chr1,-,205512899,hsa-mir-135b
chr1,-,207996976,"hsa-mir-29b-2,hsa-mir-29c"
chr1,-,224517891,hsa-mir-320b-2
chr1,-,236030220,hsa-mir-1537
chr1,-,247373902,hsa-mir-3916
chr10,+,6186842,hsa-mir-3155a
chr10,+,43278448,hsa-mir-5100
chr10,+,103348088,hsa-mir-3158-1
chr10,+,104191987,hsa-mir-146b
chr10,+,114206755,hsa-mir-4295
chr10,+,121652493,hsa-mir-4682
chr10,+,127408454,hsa-mir-4484
chr10,-,695941,hsa-mir-5699
chr10,-,12237704,hsa-mir-548ak
chr10,-,12887320,"hsa-mir-4481,hsa-mir-548q"
chr10,-,21786213,hsa-mir-1915
chr10,-,35379311,hsa-mir-3611
chr10,-,97849992,hsa-mir-3157
chr10,-,98591745,hsa-mir-607
chr10,-,100174978,hsa-mir-1287
chr10,-,103454095,hsa-mir-3158-2
chr10,-,105156270,hsa-mir-1307
chr10,-,105992120,hsa-mir-609
chr10,-,106028556,hsa-mir-4482-1
chr10,-,135186276,hsa-mir-3944
chr11,+,3876932,hsa-mir-4687
chr11,+,18405529,hsa-mir-3159
chr11,+,34938341,hsa-mir-1343
chr11,+,35965611,hsa-mir-3973
chr11,+,43380721,hsa-mir-670
chr11,+,46411459,hsa-mir-3160-2
chr11,+,47376921,hsa-mir-4487
chr11,+,57406122,hsa-mir-130a
chr11,+,67798083,hsa-mir-4691
chr11,+,68816349,hsa-mir-3164
chr11,+,70116805,hsa-mir-548k
chr11,+,74109551,hsa-mir-548al
chr11,+,87837382,hsa-mir-3166
chr11,+,118780112,hsa-mir-4492
chr11,-,568523,hsa-mir-210
chr11,-,11863488,hsa-mir-4299
chr11,-,59382684,hsa-mir-3162
chr11,-,61583238,hsa-mir-1908
chr11,-,64660917,"hsa-mir-192,hsa-mir-194-2"
chr11,-,66724937,hsa-mir-3163
chr11,-,71791573,hsa-mir-3165
chr11,-,72353504,hsa-mir-139
chr11,-,94227040,hsa-mir-548l
chr11,-,101454659,hsa-mir-3920
chr11,-,123301653,hsa-mir-4493
chr12,+,12878850,hsa-mir-613
chr12,+,13054521,hsa-mir-614
chr12,+,22778525,hsa-mir-920
chr12,+,54383279,hsa-mir-196a-2
chr12,+,54426831,hsa-mir-615
chr12,+,57522281,hsa-mir-1228
chr12,+,62996638,hsa-let-7i
chr12,+,65004292,hsa-mir-548c
chr12,+,94854058,hsa-mir-5700
chr12,+,108956684,hsa-mir-4496
chr12,+,110152711,hsa-mir-4497
chr12,+,125399883,hsa-mir-5188
chr12,-,1771048,hsa-mir-3649
chr12,-,9436221,hsa-mir-1244-3
chr12,-,47771977,hsa-mir-4494
chr12,-,50677353,hsa-mir-1293
chr12,-,54653329,hsa-mir-3198-2
chr12,-,57914300,hsa-mir-616
chr12,-,69979551,hsa-mir-3913-1
chr12,-,112546130,hsa-mir-3657
