mirna_1	mirna_2	free energy/kcal	cluster distance
hsa-miR-16-2	hsa-miR-195	-26.7000007629	200000000.0
hsa-miR-16-1	hsa-miR-195	-24.3999996185	200000000.0
hsa-miR-16	hsa-miR-195	-21.8999996185	200000000.0
hsa-miR-103a-2	hsa-miR-16	-17.1000003815	200000000.0
hsa-miR-16	hsa-miR-194	-15.6000003815	200000000.0
hsa-miR-103a	hsa-miR-16-1	-14.3000001907	200000000.0
hsa-miR-103a	hsa-miR-195	-13.8000001907	200000000.0
hsa-miR-103a	hsa-miR-194	-13.3999996185	200000000.0
hsa-miR-103a	hsa-miR-16-2	-13.3000001907	200000000.0
hsa-miR-194	hsa-miR-195	-13.1999998093	200000000.0
hsa-miR-103b	hsa-miR-16	-13.0	200000000.0
hsa-miR-103a-2	hsa-miR-195	-12.1999998093	200000000.0
hsa-miR-103b	hsa-miR-194	-11.8000001907	200000000.0
hsa-miR-103a-2	hsa-miR-195	-11.6999998093	200000000.0
hsa-miR-194	hsa-miR-195	-11.3000001907	200000000.0
hsa-miR-103b	hsa-miR-16-1	-11.1000003815	200000000.0
hsa-miR-16-1	hsa-miR-194	-10.8000001907	200000000.0
hsa-miR-103b	hsa-miR-195	-10.6000003815	200000000.0
hsa-miR-103a-2	hsa-miR-194	-9.5	200000000.0
hsa-miR-194	hsa-miR-195	-9.5	200000000.0
hsa-miR-16-1	hsa-miR-194	-8.80000019073	200000000.0
hsa-miR-16-1	hsa-miR-195	-8.5	200000000.0
hsa-miR-103a-2	hsa-miR-16-1	-8.10000038147	200000000.0
hsa-miR-16-2	hsa-miR-194	-7.59999990463	200000000.0
hsa-miR-16-2	hsa-miR-194	-6.19999980927	200000000.0
hsa-miR-103a-2	hsa-miR-194	-5.69999980927	200000000.0
hsa-miR-16-2	hsa-miR-195	-5.5	200000000.0
hsa-miR-16	hsa-miR-194	-5.19999980927	200000000.0
hsa-miR-16	hsa-miR-195	-5.09999990463	200000000.0
hsa-miR-103a-2	hsa-miR-16-2	-4.90000009537	200000000.0
hsa-miR-103a	hsa-miR-16	-4.90000009537	200000000.0
hsa-miR-103b	hsa-miR-16-2	-4.30000019073	200000000.0
hsa-miR-194	hsa-miR-195	-3.79999995232	200000000.0
hsa-miR-103a	hsa-miR-194	-3.09999990463	200000000.0
hsa-miR-103a	hsa-miR-195	-3.09999990463	200000000.0
